Unit:,,,,,,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,uA,,,,,,,,uA,,mV, ,mV, ,,, ,,MHz,KHz, ,, ,,,,Hz,Hz, , ,,,,,,,,,mV,MHz,Hz,,,,,,,,,V,V,,
Serial#,Site#, ProberX#,ProberY#,HW Bin#,SW Bin#,OPEN_SHORT_TEST_VPP_D,OPEN_SHORT_TEST_GPIO0_D,OPEN_SHORT_TEST_GPIO1_D,OPEN_SHORT_TEST_GPIO2_D,OPEN_SHORT_TEST_GPIO3_D,OPEN_SHORT_TEST_GPO0_D,OPEN_SHORT_TEST_GPIO4_D,OPEN_SHORT_TEST_GPIO5_D,OPEN_SHORT_TEST_GPIO6_D,OPEN_SHORT_TEST_GPIO7_D,OPEN_SHORT_TEST_GPIO8_D,OPEN_SHORT_TEST_GPIO9_D,POWER_SHORT_VDD,code_check_sum_code_check_sum,CKCKB_TEST_i2c_Test_w.ck_write,CKCKB_TEST_i2c_Test_r.ck_read,CKCKB_TEST_i2c_Test_w.ckb_write,CKCKB_TEST_i2c_Test_r.ckb_read,ICC_test_5P65_i2c_Test_w.icc_int_code_write,ICC_test_5P65_i2c_Test_r.read_allregister,ICC_test_5P65_VDD,vbgtrim_test_i2c_Test_w.vbg_int_code_cm02B,vbgtrim_test_vbg_voltage,vbgtrim_test_vbg_value,vbgtrim_test_vbg_diff,vbgtrim_test_vbg_value_final,acmptrim_test_i2c_Test_w.vbg_int_code_cm02B,acmptrim_test_acmp_Test.acmp_trim,acmptrim_test_acmp_trim_value,osctrim_test_i2c_Test_w.vbg_int_code_cm02B,osctrim_test_rcosc_freq,osctrim_test_rcosc_diff,osctrim_test_rcosc_trimvalue,osctrim_test_i2c_Test_r.read_allregister,osctrim_test_rcosc_trimvalue_final,osctrim_test_i2c_Test_w.0xF0_0x01_write,osctrim_test_i2c_Test_w.0xF3_0x80_write,osctrim_test_i2c_Test_w.0xF5_0x09_write,osctrim_test_lcosc_freq,osctrim_test_lcosc_diff,osctrim_test_lcosc_trimvalue,osctrim_test_lcosc_trimvalue_final,LUT_test_i2c_Test_w.vbg_int_code_cm02B,LUT_test_i2c_Test_r.read_allregister,LUT_test_lut_Test.lut,PR_test_i2c_Test_w.pr_int_code_write,PR_test_i2c_Test_r.read_allregister,PR_test_pr_test.pr,vbg_confirm_test_i2c_Test_w.vbg_int_code_cm02B,vbg_confirm_test_i2c_Test_r.read_allregister,vbg_confirm_test_vbg_comfire,rcosc_comfire_test_rcosc_QA,lcosc_comfire_test_lcosc_QA,TRIM_PROG_i2c_progame_low.5AtoA5_trim_progame,TRIM_READ_i2c_Test_r.read_allregister,TRIM_READ_i2c_Test_r.5AtoA5_value_read,TRIM_LOCKED_i2c_progame.trim_locked,LS8C10099T_V_code_PROG_i2c_progame.LS8C10099T_V_code_program,NVM_LOCKED_i2c_progame.nvm_locked,LS8C10099T_V_code_READ_i2c_Test_r.read_allregister,LS8C10099T_V_code_READ_i2c_Test_r.LS8C10099T_V_code_read,LS8C10099T_V_ATE_GPIO9_D,LS8C10099T_V_ATE_GPIO5_D,LS8C10099T_V_ATE_LS8C10099T_V_ATE.LS8C10099T_V_ATE_PATTERN,
4, 0,9,0, 1,1,-498.60695,-626.90282,-626.74099,-604.47264,-603.48159,-603.29598,-602.32490,-608.11627,-604.11805,-606.42296,-603.53142,-608.66410,-0.19888,1.00000,PASS,PASS,PASS,PASS,PASS,PASS,0.35437,PASS,1229.57861,29.00000,0.42134,29.00000,PASS,PASS,0.00000,PASS,2.53088,30.87670,43.00000,PASS,42.00000,PASS,PASS,PASS,1997.38708,2.61290,52.00000,52.00000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1229.50354,2.49850,1997.55054,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.99865,4.99903,PASS,
4, 1,9,1, 1,1,-500.17214,-628.04967,-627.41780,-607.14728,-608.66439,-609.91317,-607.36954,-607.65141,-609.00867,-608.03109,-607.06556,-607.16802,0.01291,1.00000,PASS,PASS,PASS,PASS,PASS,PASS,0.31768,PASS,1231.25293,35.00000,1.25298,34.00000,PASS,PASS,1.00000,PASS,2.53396,33.95500,43.00000,PASS,42.00000,PASS,PASS,PASS,2021.57556,21.57555,53.00000,52.00000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1229.84961,2.50270,1987.75159,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.99971,4.99962,PASS,
5, 0,11,0, 1,1,-504.13585,-626.96958,-628.95942,-606.86797,-607.01406,-608.65426,-608.41829,-612.29730,-609.34186,-608.32596,-608.69157,-611.73260,-0.01048,1.00000,PASS,PASS,PASS,PASS,PASS,PASS,0.37136,PASS,1230.74402,25.00000,0.74405,25.00000,PASS,PASS,0.00000,PASS,2.47623,23.77179,45.00000,PASS,46.00000,PASS,PASS,PASS,2019.98657,19.98656,53.00000,52.00000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1230.86938,2.51620,1986.65979,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.99892,4.99922,PASS,
5, 1,11,1, 1,1,-503.41463,-630.10174,-629.77201,-609.32082,-616.09805,-613.90042,-609.69591,-613.09409,-611.81211,-610.76611,-610.83788,-605.45176,0.14325,1.00000,PASS,PASS,PASS,PASS,PASS,PASS,0.37070,PASS,1229.96240,20.00000,0.03758,20.00000,PASS,PASS,0.00000,PASS,2.48558,14.41638,47.00000,PASS,47.00000,PASS,PASS,PASS,2009.67737,9.67732,53.00000,53.00000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1229.78699,2.48736,2009.51196,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.99969,4.99963,PASS,
6, 0,13,0, 1,1,-502.81805,-626.91712,-629.62729,-610.59201,-609.23082,-608.10506,-607.72586,-605.20148,-610.24749,-608.18291,-609.42125,-611.55128,-0.22211,1.00000,PASS,PASS,PASS,PASS,PASS,PASS,0.32515,PASS,1228.72656,25.00000,1.27344,26.00000,PASS,PASS,0.00000,PASS,2.50752,7.52257,47.00000,PASS,47.00000,PASS,PASS,PASS,2003.98621,3.98617,52.00000,52.00000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1230.61877,2.51555,2003.98621,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.99896,4.99934,PASS,
6, 1,13,1, 1,1,-505.68777,-629.14729,-629.17513,-611.94247,-610.65054,-610.99237,-610.69220,-607.53238,-611.46408,-611.85914,-611.06795,-608.25980,0.18417,1.00000,PASS,PASS,PASS,PASS,PASS,PASS,0.34778,PASS,1230.86450,31.00000,0.86456,31.00000,PASS,PASS,0.00000,PASS,2.48262,17.37835,45.00000,PASS,46.00000,PASS,PASS,PASS,1999.34998,0.65003,51.00000,51.00000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1230.71423,2.51458,1999.63660,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.99968,4.99951,PASS,
7, 0,15,0, 1,1,-493.20221,-623.21109,-624.77541,-597.84365,-596.98868,-595.82216,-600.34788,-601.17334,-599.80458,-599.07800,-603.71262,-599.88809,0.19864,1.00000,PASS,PASS,PASS,PASS,PASS,PASS,0.39913,PASS,1229.06494,31.00000,0.93510,32.00000,PASS,PASS,0.00000,PASS,2.49252,7.47757,43.00000,PASS,43.00000,PASS,PASS,PASS,2019.15125,19.15125,51.00000,50.00000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1231.04480,2.49650,1983.67358,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.99908,4.99962,PASS,
7, 1,15,1, 1,1,-501.39940,-630.45490,-628.55911,-607.40942,-610.85105,-608.70504,-607.43153,-610.58944,-605.99071,-610.31741,-607.80853,-608.86049,0.38314,1.00000,PASS,PASS,PASS,PASS,PASS,PASS,0.28777,PASS,1229.74939,31.00000,0.25059,31.00000,PASS,PASS,0.00000,PASS,2.52321,23.21356,47.00000,PASS,46.00000,PASS,PASS,PASS,1985.64990,14.35005,53.00000,53.00000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1229.66174,2.49173,1984.88318,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.99961,4.99949,PASS,
8, 0,17,0, 1,1,-498.35867,-626.61660,-628.38215,-605.41075,-604.95943,-603.49655,-606.75168,-606.95034,-606.87774,-602.79340,-608.80125,-607.21815,0.08811,1.00000,PASS,PASS,PASS,PASS,PASS,PASS,0.34609,PASS,1228.70154,27.00000,1.29850,28.00000,PASS,PASS,0.00000,PASS,2.47084,29.15596,43.00000,PASS,44.00000,PASS,PASS,PASS,1979.81287,20.18712,51.00000,52.00000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1230.23022,2.49880,2012.16187,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.99826,4.99882,PASS,
8, 1,17,1, 1,1,-503.89695,-629.68653,-629.05097,-607.25689,-609.69090,-610.19492,-611.33105,-610.76558,-610.63927,-612.88536,-612.10811,-607.18232,0.23014,1.00000,PASS,PASS,PASS,PASS,PASS,PASS,0.32454,PASS,1228.84729,31.00000,1.15273,32.00000,PASS,PASS,0.00000,PASS,2.50000,0.00000,41.00000,PASS,41.00000,PASS,PASS,PASS,1995.26501,4.73500,51.00000,51.00000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1230.88965,2.49995,1995.71350,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.99971,4.99956,PASS,
